eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
pass,successful,d2doffboards,572.67,outsideNorthEastDZ,dz,evenStrength,0,311,5152,80264,-92.85404968,-4.776470184
reception,successful,regular,574.30,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-95.87168884,27.91470528
pass,successful,d2doffboards,577.83,outsideNorthWestDZ,dz,evenStrength,0,311,446706,80264,-95.87168884,17.35294151
reception,successful,regular,579.63,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-94.36286926,-20.87059021
pass,successful,outlet,580.33,outsideNorthEastDZ,dz,evenStrength,0,311,108339,80264,-94.36286926,-27.91176605
reception,successful,regular,581.93,southWestBoardsNZ,nz,evenStrength,0,311,2546838,80264,-5.845222473,-39.98235321
pass,successful,d2d,585.60,outsideNorthWestDZ,dz,evenStrength,0,315,400162,5152,-64.56654358,29.42058563
reception,successful,regular,587.17,outsideNorthEastDZ,dz,evenStrength,0,315,54915,5152,-64.56654358,-35.45882416
pass,successful,ozentrystretch,597.17,westOuterSlotDZ,dz,evenStrength,0,315,79380,5152,-58.53125,11.3147049
reception,successful,ozentry,598.27,eastPoint,oz,evenStrength,0,315,179172,5152,26.96089172,32.43823242
pass,failed,slot,599.17,eastPoint,oz,evenStrength,0,315,179172,5152,42.05699158,31.9352951
pass,successful,outletoffboards,601.30,outsideNorthEastDZ,dz,evenStrength,0,311,237838,80264,-67.20400238,-35.45589828
reception,successful,regular,603.27,southWestBoardsNZ,nz,evenStrength,0,311,111452,80264,-8.862869263,-38.97647095
pass,successful,north,604.07,northWestBoardsNZ,nz,evenStrength,0,311,111452,80264,10.75183868,-39.98235321
reception,successful,regular,604.67,northCenterNZ,nz,evenStrength,0,311,1731661,80264,17.79301453,-9.302940369
pass,failed,slot,606.50,centerPoint,oz,evenStrength,0,311,94531,80264,30.36654663,3.773529053
pass,successful,d2doffboards,610.90,outsideNorthEastDZ,dz,evenStrength,0,315,56711,5152,-81.17146301,-37.97352982
reception,successful,regular,612.17,outsideNorthEastDZ,dz,evenStrength,0,315,202206,5152,-97.26557922,-1.258823395
pass,successful,outlet,614.47,outsideNorthWestDZ,dz,evenStrength,0,315,202206,5152,-68.09498596,24.39117432
reception,successful,regular,615.33,southWestBoardsNZ,nz,evenStrength,0,315,81408,5152,-5.730285645,-38.97941208
pass,successful,d2d,628.57,outsideNorthEastDZ,dz,evenStrength,0,315,78625,5152,-96.25969696,-5.785293579
reception,successful,regular,629.43,outsideNorthWestDZ,dz,evenStrength,0,315,79380,5152,-91.73322296,8.799999237
pass,successful,ozentrystretchoffboards,632.73,westPointDZ,dz,evenStrength,0,315,79380,5152,-43.95381546,36.96470642
reception,successful,ozentry,634.17,westPoint,oz,evenStrength,0,315,81408,5152,37.5226593,-36.46470642
pass,failed,slot,637.07,outsideNorthWest,oz,evenStrength,0,315,81408,5152,61.66383362,-37.47058868
shot,successful,outside,639.80,outsideNorthEast,oz,evenStrength,0,315,79380,5152,84.29618835,33.94705963
pass,failed,slot,642.90,outsideNorthWest,oz,evenStrength,0,315,81408,5152,77.75794983,-32.9441185
shot,successful,slot,645.07,eastOuterSlot,oz,evenStrength,1,315,79380,5152,65.68736267,21.37352753
pass,successful,south,646.37,southCenterNZ,nz,evenStrength,0,311,1462,80264,-1.318748474,0.755882263
reception,successful,regular,647.43,southCenterNZ,nz,evenStrength,0,311,108339,80264,-15.9040451,-9.302940369
pass,failed,north,648.40,southCenterNZ,nz,evenStrength,0,311,108339,80264,-24.95698547,-12.82352829
pass,failed,south,655.60,southWestBoardsNZ,nz,evenStrength,0,311,1462,80264,-0.312866211,-40.98823547
pass,successful,eastwest,659.20,southCenterNZ,nz,evenStrength,0,311,1462,80264,-19.92757416,-8.297058105
reception,successful,regular,659.90,northCenterNZ,nz,evenStrength,0,311,113401,80264,5.722427368,2.264705658
pass,failed,d2doffboards,666.53,outsideNorthEastDZ,dz,evenStrength,0,315,20161,5152,-96.76263428,-5.282352448
pass,successful,none,668.47,outsideNorthWest,oz,evenStrength,0,311,108339,80264,78.64889526,-40.48529053
pass,successful,d2doffboards,674.63,outsideNorthWestDZ,dz,evenStrength,0,315,121680,5152,-92.23616791,20.36764526
reception,successful,regular,676.33,outsideNorthEastDZ,dz,evenStrength,0,315,110856,5152,-93.74498749,-26.40588188
pass,successful,d2d,676.40,outsideNorthEastDZ,dz,evenStrength,0,315,110856,5152,-93.74498749,-26.40588188
reception,successful,regular,677.53,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-94.24793243,-20.87352943
pass,successful,d2d,677.80,outsideNorthEastDZ,dz,evenStrength,0,315,20775372,5152,-94.75086975,-17.85588264
reception,successful,regular,679.57,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-95.2538147,7.794116974
pass,successful,stretchoffboards,681.00,outsideNorthWestDZ,dz,evenStrength,0,315,20161,5152,-92.73910522,29.42058563
reception,successful,regular,682.37,northEastBoardsNZ,nz,evenStrength,0,315,121680,5152,18.91383362,37.97058868
pass,failed,eastwestoffboards,689.37,westPoint,oz,evenStrength,0,311,446706,80264,30.87734222,-39.47940826
pass,failed,outletoffboards,693.90,eastPointDZ,dz,evenStrength,0,315,110856,5152,-50.49205017,-35.96176529
pass,successful,southoffboards,695.37,northEastBoardsNZ,nz,evenStrength,0,311,446706,80264,9.250869751,24.89705849
reception,successful,regular,696.33,northEastBoardsNZ,nz,evenStrength,0,311,446706,80264,7.742050171,37.47058868
pass,successful,south,699.97,southWestBoardsNZ,nz,evenStrength,0,315,110856,5152,-17.8008728,-24.89705849
reception,successful,regular,700.77,centerPointDZ,dz,evenStrength,0,315,20161,5152,-33.89498901,0.25
pass,successful,d2d,702.27,centerPointDZ,dz,evenStrength,0,315,20161,5152,-36.91263962,9.302940369
reception,successful,regular,703.27,eastPointDZ,dz,evenStrength,0,315,20775372,5152,-37.41558075,-31.4352932
pass,successful,stretch,704.50,eastPointDZ,dz,evenStrength,0,315,20775372,5152,-28.36264038,-31.93823624
reception,successful,regular,705.10,northWestBoardsNZ,nz,evenStrength,0,315,126723,5152,10.86677551,-37.47058868
pass,failed,d2doffboards,708.23,outsideNorthWestDZ,dz,evenStrength,0,311,5152,80264,-91.33735657,9.3058815
pass,failed,northoffboards,712.43,outsideNorthWest,oz,evenStrength,0,315,126723,5152,69.71089172,-39.48235321
pass,failed,slot,715.33,outsideNorthWest,oz,evenStrength,0,315,126723,5152,91.84030151,-30.42941284
pass,successful,northoffboards,717.80,outsideNorthWest,oz,evenStrength,0,315,80518,5152,98.37854004,-5.785293579
reception,successful,regular,719.53,outsideNorthEast,oz,evenStrength,0,315,82048,5152,93.34912109,25.39705658
pass,failed,slot,720.10,outsideNorthEast,oz,evenStrength,0,315,82048,5152,93.34912109,22.88235474
reception,failed,regular,720.60,innerSlot,oz,evenStrength,0,315,126723,5152,72.72854614,3.770587921
pass,failed,northoffboards,724.87,westPoint,oz,evenStrength,0,315,126723,5152,36.021698,-38.97941208
pass,failed,northoffboards,729.13,eastPoint,oz,evenStrength,0,315,82048,5152,42.55992126,37.46764374
pass,successful,d2doffboards,731.90,outsideNorthEastDZ,dz,evenStrength,0,311,6588,80264,-94.86581421,-7.794116974
reception,successful,regular,733.43,outsideNorthEastDZ,dz,evenStrength,0,311,1312,80264,-86.31581116,-35.45587921
pass,successful,outlet,733.63,outsideNorthEastDZ,dz,evenStrength,0,311,1312,80264,-84.80699158,-33.94705963
reception,successful,regular,734.47,outsideNorthEastDZ,dz,evenStrength,0,311,112050,80264,-62.67756653,-35.45587921
shot,successful,outside,741.03,centerPoint,oz,evenStrength,0,311,112050,80264,37.40769958,-4.776470184
pass,successful,ozentry,751.07,northWestBoardsNZ,nz,evenStrength,0,311,370192,80264,22.31948853,-37.46764374
reception,successful,ozentry,751.50,centerPoint,oz,evenStrength,0,311,112050,80264,31.37242889,-12.32058716
pass,successful,north,751.53,centerPoint,oz,evenStrength,0,311,112050,80264,32.37831116,-12.32058716
reception,successful,regular,753.13,westPoint,oz,evenStrength,0,311,109964,80264,34.39007568,-20.36764526
pass,failed,north,753.27,centerPoint,oz,evenStrength,0,311,109964,80264,41.43125153,-10.81176376
pass,successful,d2d,756.07,eastOuterSlotDZ,dz,evenStrength,0,315,56711,5152,-76.63713074,-14.83823586
reception,successful,regular,757.00,outsideNorthWestDZ,dz,evenStrength,0,315,202206,5152,-83.67830658,29.92353058
pass,failed,stretch,768.47,centerPointDZ,dz,evenStrength,0,315,202206,5152,-49.47830963,2.261764526
pass,failed,outletoffboards,772.57,outsideNorthWestDZ,dz,evenStrength,0,311,5152,80264,-95.87168884,3.270587921
pass,failed,outlet,776.93,outsideNorthEastDZ,dz,evenStrength,0,311,2546838,80264,-57.1452179,-38.473526
pass,successful,south,779.57,northEastBoardsNZ,nz,evenStrength,0,315,54915,5152,3.330513,37.97058868
reception,successful,regular,780.10,southEastBoardsNZ,nz,evenStrength,0,315,79380,5152,-24.33125305,31.9352951
pass,successful,d2d,783.97,westPointDZ,dz,evenStrength,0,315,79380,5152,-43.95381546,36.46176147
